[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 157
[2025-10-25 22:25:40] INFO: Min size changed to 157
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 156
[2025-10-25 22:25:40] INFO: Min size changed to 156
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 155
[2025-10-25 22:25:40] INFO: Min size changed to 155
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 154
[2025-10-25 22:25:40] INFO: Min size changed to 154
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 153
[2025-10-25 22:25:40] INFO: Min size changed to 153
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 152
[2025-10-25 22:25:40] INFO: Min size changed to 152
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 151
[2025-10-25 22:25:40] INFO: Min size changed to 151
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 150
[2025-10-25 22:25:40] INFO: Min size changed to 150
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 149
[2025-10-25 22:25:40] INFO: Min size changed to 149
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 148
[2025-10-25 22:25:40] INFO: Min size changed to 148
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 147
[2025-10-25 22:25:40] INFO: Min size changed to 147
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 145
[2025-10-25 22:25:40] INFO: Min size changed to 145
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 144
[2025-10-25 22:25:40] INFO: Min size changed to 144
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 143
[2025-10-25 22:25:40] INFO: Min size changed to 143
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 142
[2025-10-25 22:25:40] INFO: Min size changed to 142
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 141
[2025-10-25 22:25:40] INFO: Min size changed to 141
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 140
[2025-10-25 22:25:40] INFO: Min size changed to 140
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 139
[2025-10-25 22:25:40] INFO: Min size changed to 139
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 138
[2025-10-25 22:25:40] INFO: Min size changed to 138
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 137
[2025-10-25 22:25:40] INFO: Min size changed to 137
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 136
[2025-10-25 22:25:40] INFO: Min size changed to 136
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 135
[2025-10-25 22:25:40] INFO: Min size changed to 135
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 133
[2025-10-25 22:25:40] INFO: Min size changed to 133
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 132
[2025-10-25 22:25:40] INFO: Min size changed to 132
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 131
[2025-10-25 22:25:40] INFO: Min size changed to 131
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 130
[2025-10-25 22:25:40] INFO: Min size changed to 130
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 129
[2025-10-25 22:25:40] INFO: Min size changed to 129
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 128
[2025-10-25 22:25:40] INFO: Min size changed to 128
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 127
[2025-10-25 22:25:40] INFO: Min size changed to 127
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 126
[2025-10-25 22:25:40] INFO: Min size changed to 126
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 125
[2025-10-25 22:25:40] INFO: Min size changed to 125
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 124
[2025-10-25 22:25:40] INFO: Min size changed to 124
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 123
[2025-10-25 22:25:40] INFO: Min size changed to 123
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 121
[2025-10-25 22:25:40] INFO: Min size changed to 121
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 120
[2025-10-25 22:25:40] INFO: Min size changed to 120
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 119
[2025-10-25 22:25:40] INFO: Min size changed to 119
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 118
[2025-10-25 22:25:40] INFO: Min size changed to 118
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 117
[2025-10-25 22:25:40] INFO: Min size changed to 117
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 116
[2025-10-25 22:25:40] INFO: Min size changed to 116
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 115
[2025-10-25 22:25:40] INFO: Min size changed to 115
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 114
[2025-10-25 22:25:40] INFO: Min size changed to 114
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 113
[2025-10-25 22:25:40] INFO: Min size changed to 113
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 112
[2025-10-25 22:25:40] INFO: Min size changed to 112
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 111
[2025-10-25 22:25:40] INFO: Min size changed to 111
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 109
[2025-10-25 22:25:40] INFO: Min size changed to 109
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 108
[2025-10-25 22:25:40] INFO: Min size changed to 108
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 107
[2025-10-25 22:25:40] INFO: Min size changed to 107
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 106
[2025-10-25 22:25:40] INFO: Min size changed to 106
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 105
[2025-10-25 22:25:40] INFO: Min size changed to 105
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 104
[2025-10-25 22:25:40] INFO: Min size changed to 104
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 103
[2025-10-25 22:25:40] INFO: Min size changed to 103
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 102
[2025-10-25 22:25:40] INFO: Min size changed to 102
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 101
[2025-10-25 22:25:40] INFO: Min size changed to 101
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 100
[2025-10-25 22:25:40] INFO: Min size changed to 100
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 99
[2025-10-25 22:25:40] INFO: Min size changed to 99
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 97
[2025-10-25 22:25:40] INFO: Min size changed to 97
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 96
[2025-10-25 22:25:40] INFO: Min size changed to 96
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 95
